Date,Open,High,Low,Close,Volume,Adj_Close
9/4/15,108.97,110.45,108.51,109.27,49996311,108.219563
9/3/15,112.49,112.78,110.04,110.37,53233940,109.3089884
9/2/15,110,112.34,109.131,112.34,61888812,111.2600504
9/1/15,110.18,111.88,107.36,107.72,76845860,106.6844635
8/31/15,112.13,114.53,112,112.76,56229271,111.6760128
8/28/15,112.17,113.31,111.54,113.29,53164407,112.2009178
8/27/15,112.25,113.24,110.02,112.92,84616056,111.8344747
8/26/15,107.085,109.89,105.05,109.69,96774611,108.6355254
8/25/15,111.11,111.11,103.5,103.74,103601599,102.7427241
8/24/15,94.87,108.8,92,103.12,162206292,102.1286843
8/21/15,110.43,111.9,105.645,105.76,128275471,104.7433054
8/20/15,114.08,114.35,111.63,112.65,68501622,111.5670703
8/19/15,116.1,116.52,114.68,115.01,48286510,113.9043831
8/18/15,116.43,117.44,116.01,116.5,34560708,115.3800593
8/17/15,116.04,117.65,115.5,117.16,40884745,116.0337146
8/14/15,114.32,116.31,114.01,115.96,42929516,114.8452505
8/13/15,116.04,116.4,114.54,115.15,48535789,114.0430372
8/12/15,112.53,115.42,109.63,115.24,101685610,114.132172
8/11/15,117.81,118.18,113.33,113.49,97082814,112.3989952
8/10/15,116.53,119.99,116.53,119.72,54951597,118.5691048
8/7/15,114.58,116.25,114.5,115.52,38670405,114.4094803
8/6/15,115.97,116.5,114.115,115.13,52903040,114.0232295
8/5/15,112.95,117.44,112.1,115.4,98384461,113.776746
8/4/15,117.42,117.7,113.25,114.64,124138623,113.0274365
8/3/15,121.5,122.57,117.52,118.44,69975968,116.7739844
7/31/15,122.6,122.6425,120.91,121.3,42884953,119.5937547
7/30/15,122.32,122.5699,121.71,122.37,33628268,120.6487038
7/29/15,123.15,123.5,122.27,122.99,37011653,121.2599826
7/28/15,123.38,123.91,122.55,123.38,33618097,121.6444968
7/27/15,123.09,123.61,122.12,122.77,44455540,121.0430772
7/24/15,125.32,125.74,123.9,124.5,42162332,122.7487425
7/23/15,126.2,127.09,125.06,125.16,50999452,123.3994587
7/22/15,121.99,125.5,121.99,125.22,115450607,123.4586147
7/21/15,132.85,132.92,130.32,130.75,76756427,128.9108279
7/20/15,130.97,132.97,130.7,132.07,58900203,130.2122604
7/17/15,129.08,129.62,128.31,129.62,46164710,127.7967229
7/16/15,127.74,128.57,127.35,128.51,36222447,126.7023365
7/15/15,125.72,127.15,125.58,126.82,33649200,125.0361086
7/14/15,126.04,126.37,125.04,125.61,31768139,123.8431289
7/13/15,125.03,125.755,124.32,125.66,41440538,123.8924255
7/10/15,121.94,123.85,121.21,123.28,61354474,121.5459034
7/9/15,123.85,124.06,119.22,120.07,78595038,118.3810563
